PROV_KOD_ORIGINAL,ART,DYNTAXA_TAXON_ID,KON,ANTAL,KOMMENTAR_PROV
C1967/08001-08010,Gadda,206139,,10,
C1967/08001,Gadda,206139,,1,
C1967/08002,Gadda,206139,,1,
C1967/08003,Gadda,206139,,1,
C1967/08004,Gadda,206139,,1,
C1967/08005,Gadda,206139,,1,
C1967/08006,Gadda,206139,,1,
C1967/08007,Gadda,206139,,1,
C1967/08008,Gadda,206139,,1,
C1967/08009,Gadda,206139,,1,
C1967/08010,Gadda,206139,,1,
C68/,Gadda,206139,,1,
C1968/08015,Gadda,206139,,1,
C1968/08016,Gadda,206139,,1,
C1968/08017,Gadda,206139,,1,
C1968/08018,Gadda,206139,,1,
C1968/08019,Gadda,206139,,1,
C1968/08020,Gadda,206139,,1,
C1968/08021,Gadda,206139,,1,
C1968/08022,Gadda,206139,,1,
C1968/08023,Gadda,206139,,1,
C1968/08024,Gadda,206139,,1,
C1968/08001,Gadda,206139,,1,
C1968/08002,Gadda,206139,,1,
C1968/08003,Gadda,206139,,1,
C1968/08004,Gadda,206139,,1,
C1968/08005,Gadda,206139,,1,
C1968/08006,Gadda,206139,,1,
C1968/08007,Gadda,206139,,1,
C1968/08008,Gadda,206139,,1,
C1968/08009,Gadda,206139,,1,
C1968/08010,Gadda,206139,,1,
C1968/08011,Gadda,206139,,1,
C1968/08012,Gadda,206139,,1,
C1968/08013,Gadda,206139,,1,
C1968/08014,Gadda,206139,,1,
C1968/08015-08024,Gadda,206139,X,10,
C1968/08005-08014,Gadda,206139,X,10,
C1969/08042,Gadda,206139,,1,
C1969/08043,Gadda,206139,,1,
C1969/08044,Gadda,206139,,1,
C1969/08045,Gadda,206139,,1,
C1969/08046,Gadda,206139,,1,
C1969/08047,Gadda,206139,,1,
C1969/08048,Gadda,206139,,1,
C1969/08049,Gadda,206139,,1,
C1969/08050,Gadda,206139,,1,
C1969/08051,Gadda,206139,,1,
C1969/08052,Gadda,206139,,1,
C1969/08053,Gadda,206139,,1,
C1969/08054,Gadda,206139,,1,
C1969/08055,Gadda,206139,,1,
C1969/08056,Gadda,206139,,1,
C69/,Gadda,206139,,1,
C1969/08027,Gadda,206139,,1,
C1969/08028,Gadda,206139,,1,
C1969/08029,Gadda,206139,,1,
C1969/08030,Gadda,206139,,1,
C1969/08031,Gadda,206139,,1,
C1969/08032,Gadda,206139,,1,
C1969/08033,Gadda,206139,,1,
C1969/08034,Gadda,206139,,1,
