PROVPLATS_ID,NAMN_PROVPLATS,PROV_KOD_ORIGINAL,PROVTAG_SYFTE,PROVPLATS_MILJO,PROVPLATS_TYP,PROVTAG_DAT,PROVTAG_ORG,ACKR_PROV,PLATTFORM,PROVTAG_MET,DIREKT_BEHA
00103839,Bolmen,C1967/08001-08010,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08001,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08002,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08003,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08004,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08005,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08006,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08007,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08008,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08009,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1967/08010,NMO,SJO-SOTV-RINN,Bakgrund,1967-04-02,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C68/,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08015,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08016,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08017,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08018,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08019,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08020,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08021,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08022,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08023,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
